alpha,rho,N,Z,tau,reference_mode_amplitude,reference_max_intensity,open_field_error,corrected_field_error,open_intensity_error,corrected_intensity_error,reference_power_rel,open_power_rel
0.8,0.15,256,1.1,0.16373142432961504,5.118932785637393e-07,1.0000020268690017,2.0693498046201133e-08,1.070374309166553e-09,6.062968364782475e-10,8.290851777621671e-10,0.0,-2.2204460492492028e-16
0.8,0.15,512,1.1,0.16373142432961504,5.118932785637393e-07,1.0000020268690017,1.2537917968542258e-08,1.9645695104223987e-10,2.882317535834596e-10,2.165634873918524e-10,0.0,-2.2204460492492028e-16
0.8,0.15,1024,1.1,0.16373142432961504,5.118932785637393e-07,1.0000020268690017,7.178472369734782e-09,3.7861637480035005e-11,2.197728129585e-10,5.728215587635839e-11,0.0,-4.4408920984984055e-16
0.8,0.15,128,1.2,0.17861609926867092,5.141464989401859e-07,1.0000020319897163,5.80203759008455e-08,5.692364655162101e-09,2.0690391879778706e-09,3.566829011403303e-09,0.0,-2.2204460492492028e-16
0.8,0.15,256,1.2,0.17861609926867092,5.141464989401859e-07,1.0000020319897163,2.259975757750854e-08,1.1814336853321404e-09,7.220114384843939e-10,9.829881301005894e-10,0.0,-2.2204460492492028e-16
0.8,0.15,512,1.2,0.17861609926867092,5.141464989401859e-07,1.0000020319897163,1.369111443143615e-08,2.1960799972674452e-10,3.4330735431923845e-10,2.5660752529218557e-10,0.0,-2.2204460492492028e-16
0.8,0.15,1024,1.2,0.17861609926867092,5.141464989401859e-07,1.0000020319897163,7.839061913285907e-09,4.327851780560536e-11,2.6177097318054486e-10,6.784104724768337e-11,0.0,-2.2204460492492028e-16
0.8,0.15,128,1.3,0.19350077420772685,5.165930689167639e-07,1.0000020375606353,6.290051594313655e-08,6.211908517668329e-09,2.4304607004590605e-09,4.172275119880733e-09,0.0,-4.4408920984984055e-16
0.8,0.15,256,1.3,0.19350077420772685,5.165930689167639e-07,1.0000020375606353,2.4512565215588126e-08,1.2954182875664223e-09,8.479578736606246e-10,1.149173634853675e-09,0.0,-2.2204460492492028e-16
0.8,0.15,512,1.3,0.19350077420772685,5.165930689167639e-07,1.0000020375606353,1.4847812513599205e-08,2.4382761536738513e-10,4.032765612968607e-10,2.997963472057767e-10,0.0,-4.4408920984984055e-16
0.8,0.15,1024,1.3,0.19350077420772685,5.165930689167639e-07,1.0000020375606353,8.50174466037501e-09,4.905329908981904e-11,3.0750221534012603e-10,7.921868417009826e-11,0.0,-2.2204460492492028e-16
0.8,0.15,128,1.4000000000000001,0.20838544914678278,5.192324075933591e-07,1.000002043582993,6.7791506507626e-08,6.740294831908788e-09,2.8215332118457372e-09,4.822618422073469e-09,0.0,-2.2204460492492028e-16
0.8,0.15,256,1.4000000000000001,0.20838544914678278,5.192324075933591e-07,1.000002043582993,2.6432474116563774e-08,1.4123724475175748e-09,9.841789428530734e-10,1.3274723160760334e-09,0.0,-2.2204460492492028e-16
0.8,0.15,512,1.4000000000000001,0.20838544914678278,5.192324075933591e-07,1.000002043582993,1.6008308057294568e-08,2.6911887884146275e-10,4.681655947892043e-10,3.460761748691953e-10,0.0,-4.4408920984984055e-16
0.8,0.15,1024,1.4000000000000001,0.20838544914678278,5.192324075933591e-07,1.000002043582993,9.166697527447753e-09,5.5180543597680464e-11,3.56986737108956e-10,9.139887063052769e-11,0.0,-2.2204460492492028e-16
0.8,0.15,128,1.5,0.22327012408583868,5.220639118565988e-07,1.0000020500581233,7.269419165269805e-08,7.277659006409731e-09,3.242427350312342e-09,5.517459821903245e-09,0.0,-2.2204460492492028e-16
0.8,0.15,256,1.5,0.22327012408583868,5.220639118565988e-07,1.0000020500581233,2.8360039218310556e-08,1.532324474734313e-09,1.13072067467468e-09,1.5177330770952223e-09,0.0,0.0
0.8,0.15,512,1.5,0.22327012408583868,5.220639118565988e-07,1.0000020500581233,1.7172897879109242e-08,2.9548010620616794e-10,5.380028391623379e-10,3.9539809020068955e-10,0.0,-2.2204460492492028e-16
0.8,0.15,1024,1.5,0.22327012408583868,5.220639118565988e-07,1.0000020500581233,9.834098028086155e-09,6.165447828957186e-11,4.1024666419363703e-10,1.0436700866519853e-10,0.0,-2.2204460492492028e-16
0.8,0.15,128,1.6,0.2381547990248946,5.250869612881981e-07,1.0000020569874604,7.760941753421461e-08,7.824103126853748e-09,3.693327146285563e-09,6.256482204217688e-09,0.0,-2.2204460492492028e-16
0.8,0.15,256,1.6,0.2381547990248946,5.250869612881981e-07,1.0000020569874604,3.0295817405955575e-08,1.65529203889624e-09,1.2876323580853881e-09,1.7198258016909846e-09,0.0,-2.2204460492492028e-16
0.8,0.15,512,1.6,0.2381547990248946,5.250869612881981e-07,1.0000020569874604,1.834187984546425e-08,3.229069604984925e-10,6.128187956056789e-10,4.477192063187628e-10,0.0,-2.2204460492492028e-16
0.8,0.15,1024,1.6,0.2381547990248946,5.250869612881981e-07,1.0000020569874604,1.0504124319746207e-08,6.846945717314156e-11,4.673055844926778e-10,1.1811005955949794e-10,0.0,-2.2204460492492028e-16
0.8,0.15,128,1.7,0.2530394739639505,5.283009229921748e-07,1.0000020643725405,8.25380325624869e-08,8.379710738881357e-09,4.174429150041125e-09,7.039456624815006e-09,0.0,-2.2204460492492028e-16
0.8,0.15,256,1.7,0.2530394739639505,5.283009229921748e-07,1.0000020643725405,3.224036764583661e-08,1.7812874478221093e-09,1.4549672031573467e-09,1.933643480582635e-09,0.0,-2.2204460492492028e-16
0.8,0.15,512,1.7,0.2530394739639505,5.283009229921748e-07,1.0000020643725405,1.951555294579289e-08,3.5139420389946807e-10,6.926460712984219e-10,5.030025547109352e-10,0.0,-2.2204460492492028e-16
0.8,0.15,1024,1.7,0.2530394739639505,5.283009229921748e-07,1.0000020643725405,1.1176955251339951e-08,7.562040292206399e-11,5.281888524182508e-10,1.3261675741785573e-10,0.0,-2.2204460492492028e-16
0.8,0.15,128,1.8,0.2679241489030064,5.317051566155358e-07,1.0000020722149994,8.748088755982909e-08,8.944560900329788e-09,4.685943496150096e-09,7.866246317764206e-09,0.0,-2.2204460492492028e-16
0.8,0.15,256,1.8,0.2679241489030064,5.317051566155358e-07,1.0000020722149994,3.419425112088695e-08,1.9103223288674767e-09,1.6327816583416718e-09,2.159103698073522e-09,0.0,-2.2204460492492028e-16
0.8,0.15,512,1.8,0.2679241489030064,5.317051566155358e-07,1.0000020722149994,2.0694217373440064e-08,3.8093733769599203e-10,7.775195799181431e-10,5.612183035419789e-10,0.0,-4.4408920984984055e-16
0.8,0.15,1024,1.8,0.2679241489030064,5.317051566155358e-07,1.0000020722149994,1.185277041080781e-08,8.31031365993242e-11,5.929234514885841e-10,1.4787778184059827e-10,0.0,-2.2204460492492028e-16
0.8,0.15,128,1.9000000000000001,0.28280882384206235,5.352990193017849e-07,1.0000020805165741,9.243883589115715e-08,9.518740890041052e-09,5.228093157014189e-09,8.736807094764046e-09,0.0,-2.2204460492492028e-16
0.8,0.15,256,1.9000000000000001,0.28280882384206235,5.352990193017849e-07,1.0000020805165741,3.6158031381894014e-08,2.04241169644357e-09,1.8211357855581706e-09,2.3961477551102535e-09,0.0,-2.2204460492492028e-16
0.8,0.15,512,1.9000000000000001,0.28280882384206235,5.352990193017849e-07,1.0000020805165741,2.187817460002535e-08,4.115336757609308e-10,8.674763440819322e-10,6.223428800760225e-10,0.0,-2.2204460492492028e-16
0.8,0.15,1024,1.9000000000000001,0.28280882384206235,5.352990193017849e-07,1.0000020805165741,1.2531750170909713e-08,9.091454601620536e-11,6.615381667576444e-10,1.6388559388394888e-10,0.0,-4.4408920984984055e-16
0.8,0.15,128,2.0,0.2976934987811182,5.390818706933357e-07,1.0000020892791046,9.741273362993578e-08,1.0102357147955175e-08,5.801114376142605e-09,9.651184485878342e-09,0.0,-2.2204460492492028e-16
0.8,0.15,256,2.0,0.2976934987811182,5.390818706933357e-07,1.0000020892791046,3.813227448115491e-08,2.177577368063551e-09,2.0200929871623988e-09,2.6447408376614555e-09,0.0,-2.2204460492492028e-16
0.8,0.15,512,2.0,0.2976934987811182,5.390818706933357e-07,1.0000020892791046,2.3067727451969205e-08,4.431833329421338e-10,9.625555070314005e-10,6.863593093984988e-10,0.0,-4.4408920984984055e-16
0.8,0.15,1024,2.0,0.2976934987811182,5.390818706933357e-07,1.0000020892791046,1.321407573791959e-08,9.905274465766984e-11,7.340633294363275e-10,1.806345223510744e-10,0.0,-2.2204460492492028e-16
0.8,0.15,128,2.1,0.31257817372017416,5.430530778484841e-07,1.0000020985045315,1.0240343972039886e-07,1.0695544340133821e-08,6.405256774279599e-09,1.060950987041638e-08,0.0,-2.2204460492492028e-16
0.8,0.15,256,2.1,0.31257817372017416,5.430530778484841e-07,1.0000020985045315,4.011754911144702e-08,2.3158505938975534e-09,2.229720360641537e-09,2.90486997234558e-09,0.0,-2.2204460492492028e-16
0.8,0.15,512,2.1,0.31257817372017416,5.430530778484841e-07,1.0000020985045315,2.426318018933356e-08,4.75889794725714e-10,1.062798505893751e-09,7.532567019749374e-10,0.0,-4.4408920984984055e-16
0.8,0.15,1024,2.1,0.31257817372017416,5.430530778484841e-07,1.0000020985045315,1.3899929197157684e-08,1.0751710390406054e-10,8.105310257370813e-10,1.9812064992690022e-10,0.0,-2.2204460492492028e-16
0.8,0.15,128,2.2,0.3274628486592301,5.472120200429173e-07,1.000002108194899,1.0741181612067987e-07,1.1298472150998278e-08,7.040783147876046e-09,1.1611993293899751e-08,0.0,-2.2204460492492028e-16
0.8,0.15,256,2.2,0.3274628486592301,5.472120200429173e-07,1.000002108194899,4.211442676898835e-08,2.4572739796662455e-09,2.4500884386403655e-09,3.1765428621860152e-09,0.0,-4.4408920984984055e-16
0.8,0.15,512,2.2,0.3274628486592301,5.472120200429173e-07,1.000002108194899,2.5464838586020752e-08,5.09660348774654e-10,1.168248991839288e-09,8.230296226103995e-10,0.0,-4.4408920984984055e-16
0.8,0.15,1024,2.2,0.3274628486592301,5.472120200429173e-07,1.000002108194899,1.4589493564335166e-08,1.1630826574166977e-10,8.909751387173959e-10,2.1634143774547016e-10,0.0,-4.4408920984984055e-16
0.8,0.15,128,2.3000000000000003,0.342347523598286,5.515580935665681e-07,1.0000021183523553,1.124387279713137e-07,1.1911349833562847e-08,7.707969806602174e-09,1.265891465269484e-08,0.0,-2.2204460492492028e-16
0.8,0.15,256,2.3000000000000003,0.342347523598286,5.515580935665681e-07,1.0000021183523553,4.412348188342747e-08,2.601902506337838e-09,2.6812714500735234e-09,3.459784646794565e-09,0.0,-2.2204460492492028e-16
0.8,0.15,512,2.3000000000000003,0.342347523598286,5.515580935665681e-07,1.0000021183523553,2.6673010002186506e-08,5.445060481616706e-10,1.2789528393837581e-09,8.956772195238933e-10,0.0,-4.4408920984984055e-16
0.8,0.15,1024,2.3000000000000003,0.342347523598286,5.515580935665681e-07,1.0000021183523553,1.528295283174224e-08,1.2542807953607196e-10,9.754312082085071e-10,2.352959020089631e-10,0.0,-4.4408920984984055e-16
0.8,0.15,128,2.4,0.35723219853734184,5.560907162722606e-07,1.0000021289791496,1.1748504373855323e-07,1.2534428799434092e-08,8.407106775139144e-09,1.375061562862284e-08,0.0,0.0
0.8,0.15,256,2.4,0.35723219853734184,5.560907162722606e-07,1.0000021289791496,4.61452919515865e-08,2.749803853909483e-09,2.923347516232081e-09,3.754635379775573e-09,0.0,-4.4408920984984055e-16
0.8,0.15,512,2.4,0.35723219853734184,5.560907162722606e-07,1.0000021289791496,2.7888003469184896e-08,5.804417796657196e-10,1.394958209098853e-09,9.712030661359566e-10,0.0,-4.4408920984984055e-16
0.8,0.15,1024,2.4,0.35723219853734184,5.560907162722606e-07,1.0000021289791496,1.5980492017339144e-08,1.348795253707256e-10,1.0639365501860768e-09,2.5498413313970213e-10,0.0,-4.4408920984984055e-16
0.8,0.15,128,2.5,0.37211687347639777,5.608093320749653e-07,1.0000021400776358,1.2255163538143572e-07,1.316800312470903e-08,9.13849775017101e-09,1.4887488371821351e-08,0.0,-2.2204460492492028e-16
0.8,0.15,256,2.5,0.37211687347639777,5.608093320749653e-07,1.0000021400776358,4.818043771819676e-08,2.901058311384692e-09,3.176397484967456e-09,4.061147484429662e-09,0.0,-2.2204460492492028e-16
