alpha,rho,N,closure,threshold,Z_f,g,beta
1.2,0.3,512,corrected,0.01,,0.2980904795342038,1.2001532722697053
1.2,0.3,1024,open,1e-05,31.6,0.2980904795342038,1.2001532722697053
1.2,0.3,1024,corrected,1e-05,40.6,0.2980904795342038,1.2001532722697053
1.2,0.3,1024,open,3e-05,34.9,0.2980904795342038,1.2001532722697053
1.2,0.3,1024,corrected,3e-05,42.4,0.2980904795342038,1.2001532722697053
1.2,0.3,1024,open,0.0001,38.5,0.2980904795342038,1.2001532722697053
1.2,0.3,1024,corrected,0.0001,44.4,0.2980904795342038,1.2001532722697053
1.2,0.3,1024,open,0.0003,41.8,0.2980904795342038,1.2001532722697053
1.2,0.3,1024,corrected,0.0003,46.2,0.2980904795342038,1.2001532722697053
1.2,0.3,1024,open,0.001,45.1,0.2980904795342038,1.2001532722697053
1.2,0.3,1024,corrected,0.001,47.8,0.2980904795342038,1.2001532722697053
1.2,0.3,1024,open,0.01,,0.2980904795342038,1.2001532722697053
1.2,0.3,1024,corrected,0.01,,0.2980904795342038,1.2001532722697053
1.6,0.15,128,open,1e-05,51.4,0.1499447723013107,1.6002383326855818
1.6,0.15,128,corrected,1e-05,51.0,0.1499447723013107,1.6002383326855818
1.6,0.15,128,open,3e-05,57.9,0.1499447723013107,1.6002383326855818
1.6,0.15,128,corrected,3e-05,56.2,0.1499447723013107,1.6002383326855818
1.6,0.15,128,open,0.0001,65.1,0.1499447723013107,1.6002383326855818
1.6,0.15,128,corrected,0.0001,62.1,0.1499447723013107,1.6002383326855818
1.6,0.15,128,open,0.0003,71.7,0.1499447723013107,1.6002383326855818
1.6,0.15,128,corrected,0.0003,67.6,0.1499447723013107,1.6002383326855818
1.6,0.15,128,open,0.001,79.0,0.1499447723013107,1.6002383326855818
1.6,0.15,128,corrected,0.001,73.9,0.1499447723013107,1.6002383326855818
1.6,0.15,128,open,0.01,,0.1499447723013107,1.6002383326855818
1.6,0.15,128,corrected,0.01,86.7,0.1499447723013107,1.6002383326855818
1.6,0.15,256,open,1e-05,59.7,0.1499447723013107,1.6002383326855818
1.6,0.15,256,corrected,1e-05,76.5,0.1499447723013107,1.6002383326855818
1.6,0.15,256,open,3e-05,66.8,0.1499447723013107,1.6002383326855818
1.6,0.15,256,corrected,3e-05,80.8,0.1499447723013107,1.6002383326855818
1.6,0.15,256,open,0.0001,74.60000000000001,0.1499447723013107,1.6002383326855818
1.6,0.15,256,corrected,0.0001,85.2,0.1499447723013107,1.6002383326855818
1.6,0.15,256,open,0.0003,81.60000000000001,0.1499447723013107,1.6002383326855818
1.6,0.15,256,corrected,0.0003,88.9,0.1499447723013107,1.6002383326855818
1.6,0.15,256,open,0.001,89.0,0.1499447723013107,1.6002383326855818
1.6,0.15,256,corrected,0.001,,0.1499447723013107,1.6002383326855818
1.6,0.15,256,open,0.01,,0.1499447723013107,1.6002383326855818
1.6,0.15,256,corrected,0.01,,0.1499447723013107,1.6002383326855818
1.6,0.15,512,open,1e-05,67.2,0.1499447723013107,1.6002383326855818
1.6,0.15,512,corrected,1e-05,82.5,0.1499447723013107,1.6002383326855818
1.6,0.15,512,open,3e-05,74.3,0.1499447723013107,1.6002383326855818
1.6,0.15,512,corrected,3e-05,86.3,0.1499447723013107,1.6002383326855818
1.6,0.15,512,open,0.0001,82.10000000000001,0.1499447723013107,1.6002383326855818
1.6,0.15,512,corrected,0.0001,,0.1499447723013107,1.6002383326855818
1.6,0.15,512,open,0.0003,88.8,0.1499447723013107,1.6002383326855818
1.6,0.15,512,corrected,0.0003,,0.1499447723013107,1.6002383326855818
1.6,0.15,512,open,0.001,,0.1499447723013107,1.6002383326855818
1.6,0.15,512,corrected,0.001,,0.1499447723013107,1.6002383326855818
1.6,0.15,512,open,0.01,,0.1499447723013107,1.6002383326855818
1.6,0.15,512,corrected,0.01,,0.1499447723013107,1.6002383326855818
1.6,0.15,1024,open,1e-05,74.4,0.1499447723013107,1.6002383326855818
1.6,0.15,1024,corrected,1e-05,86.8,0.1499447723013107,1.6002383326855818
1.6,0.15,1024,open,3e-05,81.5,0.1499447723013107,1.6002383326855818
1.6,0.15,1024,corrected,3e-05,,0.1499447723013107,1.6002383326855818
1.6,0.15,1024,open,0.0001,89.0,0.1499447723013107,1.6002383326855818
1.6,0.15,1024,corrected,0.0001,,0.1499447723013107,1.6002383326855818
1.6,0.15,1024,open,0.0003,,0.1499447723013107,1.6002383326855818
1.6,0.15,1024,corrected,0.0003,,0.1499447723013107,1.6002383326855818
1.6,0.15,1024,open,0.001,,0.1499447723013107,1.6002383326855818
1.6,0.15,1024,corrected,0.001,,0.1499447723013107,1.6002383326855818
1.6,0.15,1024,open,0.01,,0.1499447723013107,1.6002383326855818
1.6,0.15,1024,corrected,0.01,,0.1499447723013107,1.6002383326855818
1.6,0.3,128,open,1e-05,29.7,0.2989848978959758,1.6001219098981472
1.6,0.3,128,corrected,1e-05,36.9,0.2989848978959758,1.6001219098981472
1.6,0.3,128,open,3e-05,33.0,0.2989848978959758,1.6001219098981472
1.6,0.3,128,corrected,3e-05,39.2,0.2989848978959758,1.6001219098981472
1.6,0.3,128,open,0.0001,36.7,0.2989848978959758,1.6001219098981472
1.6,0.3,128,corrected,0.0001,41.7,0.2989848978959758,1.6001219098981472
