alpha,rho,N,Z,tau,reference_mode_amplitude,reference_max_intensity,open_field_error,corrected_field_error,open_intensity_error,corrected_intensity_error,reference_power_rel,open_power_rel,panel,g_theory,g_error,g_ratio,r2,n_points,scaled_error
0.8,0.3,256,8.4,2.519207512842901,4.44617230076043e-06,1.0000124993503698,3.6337177850215554e-07,3.5422439798898926e-08,1.5287370266097284e-07,3.991563893188567e-08,-6.661338147747608e-16,-6.661338147747608e-16,open_vs_corrected,,,,,,
0.8,0.3,256,8.5,2.5491980784719828,4.581567673357453e-06,1.0000128750623256,3.738428814188193e-07,3.678044623268957e-08,1.5942869269817274e-07,4.104526990402568e-08,-6.661338147747608e-16,-6.661338147747608e-16,open_vs_corrected,,,,,,
0.8,0.3,256,8.6,2.5791886441010647,4.721084787760296e-06,1.000013262355617,3.846068742902964e-07,3.817845165797496e-08,1.662384919013828e-07,4.219647991692692e-08,-6.661338147747608e-16,-6.661338147747608e-16,open_vs_corrected,,,,,,
0.8,0.3,256,8.700000000000001,2.609179209730147,4.864849086865116e-06,1.0000136615786273,3.956723307909589e-07,3.9617322222876054e-08,1.7331257129027217e-07,4.336951010646372e-08,-6.661338147747608e-16,-4.4408920984984055e-16,open_vs_corrected,,,,,,
0.8,0.3,256,8.8,2.6391697753592296,5.012989838496114e-06,1.0000140730904714,4.070480710488103e-07,4.1097938924970985e-08,1.8066074345849345e-07,4.4564599636615924e-08,-6.661338147747608e-16,-6.661338147747608e-16,open_vs_corrected,,,,,,
0.8,0.3,256,8.9,2.669160340988312,5.165640251268767e-06,1.0000144972613187,4.18743169067381e-07,4.262119764848853e-08,1.882931741987899e-07,4.578198507131172e-08,-6.661338147747608e-16,-6.661338147747608e-16,open_vs_corrected,,,,,,
0.8,0.3,256,9.0,2.699150906617393,5.3229375940458364e-06,1.0000149344727267,4.307669604464824e-07,4.418800973342936e-08,1.9622039527235786e-07,4.702190094227189e-08,-6.661338147747608e-16,-6.661338147747608e-16,open_vs_corrected,,,,,,
0.8,0.3,256,9.1,2.7291414722464755,5.485023319084439e-06,1.0000153851179834,4.431290503006343e-07,4.5799302148872594e-08,2.0445331690740992e-07,4.82845789236037e-08,-6.661338147747608e-16,-6.661338147747608e-16,open_vs_corrected,,,,,,
0.8,0.3,256,9.2,2.759132037875558,5.652043188935397e-06,1.00001584960246,4.55839321377668e-07,4.745601780959448e-08,2.130032411388973e-07,4.957024867043269e-08,-6.661338147747608e-16,-8.881784196996811e-16,open_vs_corrected,,,,,,
0.8,0.3,256,9.3,2.7891226035046404,5.82414740739097e-06,1.0000163283439794,4.689079425364929e-07,4.915911574595793e-08,2.218818755168887e-07,5.087913699196936e-08,-8.881784196996811e-16,-6.661338147747608e-16,open_vs_corrected,,,,,,
0.8,0.3,256,9.4,2.8191131691337223,6.001490754261988e-06,1.0000168217731895,4.82345377375745e-07,5.090957136296872e-08,2.311013475540597e-07,5.221146804432617e-08,-8.881784196996811e-16,-6.661338147747608e-16,open_vs_corrected,,,,,,
0.8,0.3,256,9.5,2.8491037347628043,6.184232724391054e-06,1.0000173303339517,4.961623931638672e-07,5.2708376607845016e-08,2.406742191083935e-07,5.356746313862689e-08,-6.661338147747608e-16,-6.661338147747608e-16,open_vs_corrected,,,,,,
0.8,0.3,256,9.6,2.8790943003918863,6.372537670874813e-06,1.000017854483735,5.103700700253579e-07,5.455654016949382e-08,2.506135016318482e-07,5.4947340990179455e-08,-6.661338147747608e-16,-6.661338147747608e-16,open_vs_corrected,,,,,,
0.8,0.3,256,9.7,2.9090848660209687,6.566574952756543e-06,1.0000183946940375,5.24979810432647e-07,5.645508745724407e-08,2.6093267149297185e-07,5.635131638678664e-08,-6.661338147747608e-16,-6.661338147747608e-16,open_vs_corrected,,,,,,
0.8,0.3,256,9.8,2.9390754316500507,6.7665190871777895e-06,1.0000189514508038,5.400033489975454e-07,5.840506080751032e-08,2.716456871601947e-07,5.777960066663692e-08,-6.661338147747608e-16,-6.661338147747608e-16,open_vs_corrected,,,,,,
0.8,0.3,256,9.9,2.969065997279133,6.972549906232582e-06,1.0000195252548607,5.554527625281595e-07,6.04075194700849e-08,2.827670051191077e-07,5.923240057867236e-08,-8.881784196996811e-16,-6.661338147747608e-16,open_vs_corrected,,,,,,
0.8,0.3,256,10.0,2.999056562908215,7.184852718496114e-06,1.000020116622374,5.713404803903986e-07,6.246353981807873e-08,2.943115978373242e-07,6.070991859655511e-08,-8.881784196996811e-16,-6.661338147747608e-16,open_vs_corrected,,,,,,
0.8,0.3,256,10.1,3.029047128537297,7.403618475635355e-06,1.0000207260853078,5.876792952245225e-07,6.457421536755967e-08,3.062949713701729e-07,6.22123516944271e-08,-8.881784196996811e-16,-8.881784196996811e-16,open_vs_corrected,,,,,,
