N,Z,closure,intensity,pdf_ref,pdf_finite
256,15.0,open,1.025018759957577,7.27338479830194,9.0126724674611
256,15.0,open,1.026562809813515,4.901628885812177,5.2178630074774786
256,15.0,open,1.0281068596694531,4.269160642481573,6.324682433306035
256,15.0,open,1.0296509095253912,2.8461070949877154,4.111043581648922
256,15.0,open,1.0311949593813292,3.320458277485668,2.213638851657112
256,15.0,open,1.0327390092372672,2.371755912489763,3.1623412166530174
256,15.0,open,1.0342830590932053,3.0042241558203666,1.5811706083265087
256,15.0,open,1.0358271089491433,2.371755912489763,2.8461070949877154
256,15.0,open,1.0373711588050814,1.8974047299918104,1.106819425828556
256,15.0,open,1.0389152086610194,1.106819425828556,1.4230535474938577
256,15.0,open,1.0404592585169574,2.055521790824461,2.055521790824461
256,15.0,open,1.0420033083728955,0.31623412166530174,1.264936486661207
256,15.0,open,1.0435473582288335,1.4230535474940624,0.9487023649960417
256,15.0,open,1.0450914080847713,0.4743511824979526,0.6324682433306035
256,15.0,open,1.0466354579407093,0.4743511824979526,0.7905853041632543
256,15.0,open,1.0481795077966474,0.4743511824979526,0.31623412166530174
256,15.0,open,1.0497235576525854,0.31623412166530174,0.4743511824979526
256,15.0,open,1.0512676075085234,0.31623412166530174,0.31623412166530174
256,15.0,open,1.0528116573644615,0.15811706083265087,0.4743511824979526
256,15.0,open,1.0543557072203995,0.15811706083265087,0.6324682433306035
256,15.0,open,1.0558997570763375,0.0,0.0
256,15.0,open,1.0574438069322756,0.0,0.31623412166530174
256,15.0,open,1.0589878567882136,0.31623412166530174,0.15811706083265087
256,15.0,open,1.0605319066441514,0.0,0.3162341216653472
256,15.0,open,1.0620759565000895,0.31623412166530174,0.31623412166530174
256,15.0,open,1.0636200063560275,0.15811706083265087,0.0
256,15.0,open,1.0651640562119655,0.15811706083265087,0.0
256,15.0,open,1.0667081060679036,0.31623412166530174,0.0
256,15.0,open,1.0682521559238416,0.15811706083265087,0.0
256,15.0,open,1.0697962057797796,0.31623412166530174,0.0
256,15.0,corrected,0.9477902044237836,0.15803399033259227,0.15803399033259227
256,15.0,corrected,0.9493350659088742,0.31606798066518454,0.31606798066518454
256,15.0,corrected,0.9508799273939648,0.15803399033259227,0.15803399033259227
256,15.0,corrected,0.9524247888790554,0.31606798066520725,0.31606798066520725
256,15.0,corrected,0.9539696503641458,0.4741019709977768,0.4741019709977768
256,15.0,corrected,0.9555145118492364,0.7901699516629613,0.7901699516629613
256,15.0,corrected,0.957059373334327,1.106237932328146,1.106237932328146
256,15.0,corrected,0.9586042348194176,0.4741019709977768,0.4741019709977768
256,15.0,corrected,0.9601490963045082,1.106237932328146,1.106237932328146
256,15.0,corrected,0.9616939577895987,1.5803399033260361,1.5803399033260361
256,15.0,corrected,0.9632388192746892,2.212475864656292,2.0544418743236994
256,15.0,corrected,0.9647836807597798,3.3187137969844374,3.1606798066518453
256,15.0,corrected,0.9663285422448704,4.266917738979991,4.582985719645175
256,15.0,corrected,0.967873403729961,4.741019709977768,4.89905370031036
256,15.0,corrected,0.9694182652150516,5.847257642305914,5.215121680975544
256,15.0,corrected,0.9709631267001422,6.163325622971541,6.795461584301956
256,15.0,corrected,0.9725079881852327,8.691869468292575,8.37580148762739
256,15.0,corrected,0.9740528496703232,8.059733506962205,8.217767497294798
256,15.0,corrected,0.9755977111554138,10.114175381285905,10.114175381285905
256,15.0,corrected,0.9771425726405044,11.378447303946643,11.378447303946643
256,15.0,corrected,0.978687434125595,12.642719226607381,13.116821197605159
256,15.0,corrected,0.9802322956106855,11.694515284612669,12.010583265277875
256,15.0,corrected,0.9817771570957761,15.013229081596265,14.381093120265897
256,15.0,corrected,0.9833220185808667,17.225704946252556,17.54177292691774
256,15.0,corrected,0.9848668800659572,17.067670955919965,17.225704946252556
256,15.0,corrected,0.9864117415510478,18.80604484957848,18.96407883991107
256,15.0,corrected,0.9879566030361384,15.487331052594042,14.381093120265897
256,15.0,corrected,0.989501464521229,19.596214801242848,19.754248791575453
256,15.0,corrected,0.9910463260063195,19.438180810908847,19.122112830243665
256,15.0,corrected,0.9925911874914101,21.176554704567362,22.914928598225877
256,15.0,corrected,0.9941360489765007,19.59621480124144,18.3319428785807
256,15.0,corrected,0.9956809104615912,23.863132540221432,23.705098549888838
256,15.0,corrected,0.9972257719466818,21.334588694899956,21.492622685232547
256,15.0,corrected,0.9987706334317724,24.495268501551802,24.337234511219208
256,15.0,corrected,1.0003154949168631,22.282792636895508,22.598860617560693
256,15.0,corrected,1.0018603564019535,23.389030569223657,22.914928598225877
256,15.0,corrected,1.0034052178870443,20.544418743236996,21.176554704567362
256,15.0,corrected,1.0049500793721347,21.334588694903022,21.492622685235638
256,15.0,corrected,1.006494940857225,19.280146820576256,18.015874897915516
256,15.0,corrected,1.0080398023423158,21.01852071423477,21.65065667556514
256,15.0,corrected,1.0095846638274062,19.912282781906626,19.75424879157403
256,15.0,corrected,1.011129525312497,19.59621480124144,19.912282781906626
256,15.0,corrected,1.0126743867975874,21.176554704567362,20.702452733569586
256,15.0,corrected,1.0142192482826782,16.59356898492219,17.067670955919965
256,15.0,corrected,1.0157641097677685,16.75160297525478,17.067670955919965
256,15.0,corrected,1.0173089712528594,13.748957158935527,12.958787207272566
256,15.0,corrected,1.0188538327379497,10.272209371618498,10.904345332948866
256,15.0,corrected,1.0203986942230405,11.378447303946643,11.062379323281458
256,15.0,corrected,1.021943555708131,11.536481294280893,11.694515284613509
256,15.0,corrected,1.0234884171932213,8.533835477959983,8.37580148762739
256,15.0,corrected,1.025033278678312,7.585631535964429,7.585631535964429
256,15.0,corrected,1.0265781401634024,4.582985719645175,4.89905370031036
256,15.0,corrected,1.0281230016484932,4.266917738979991,3.950849758314807
256,15.0,corrected,1.0296678631335836,3.002645816319253,2.844611825986661
256,15.0,corrected,1.0312127246186744,3.1606798066518453,3.47674778731703
256,15.0,corrected,1.0327575861037648,2.5285438453214764,2.212475864656292
256,15.0,corrected,1.0343024475888556,2.844611825986661,3.1606798066518453
256,15.0,corrected,1.035847309073946,2.370509854988884,2.370509854988884
256,15.0,corrected,1.0373921705590368,1.8964078839911072,1.8964078839911072
256,15.0,corrected,1.0389370320441271,1.106237932328146,1.2642719226607382
256,15.0,corrected,1.040481893529218,2.0544418743236994,1.8964078839911072
256,15.0,corrected,1.0420267550143083,0.31606798066522995,0.6321359613304599
256,15.0,corrected,1.0435716164993987,1.4223059129933304,1.106237932328146
256,15.0,corrected,1.0451164779844895,0.4741019709977768,0.6321359613303691
256,15.0,corrected,1.0466613394695798,0.4741019709977768,0.31606798066518454
256,15.0,corrected,1.0482062009546707,0.4741019709977768,0.4741019709977768
256,15.0,corrected,1.049751062439761,0.31606798066518454,0.31606798066518454
256,15.0,corrected,1.0512959239248518,0.31606798066518454,0.31606798066518454
256,15.0,corrected,1.0528407854099422,0.15803399033259227,0.15803399033259227
256,15.0,corrected,1.054385646895033,0.15803399033259227,0.15803399033259227
256,15.0,corrected,1.0559305083801234,0.0,0.0
256,15.0,corrected,1.0574753698652142,0.0,0.0
256,15.0,corrected,1.0590202313503045,0.31606798066518454,0.31606798066518454
256,15.0,corrected,1.0605650928353954,0.0,0.0
256,15.0,corrected,1.0621099543204857,0.31606798066522995,0.31606798066522995
256,15.0,corrected,1.063654815805576,0.15803399033259227,0.15803399033259227
256,15.0,corrected,1.065199677290667,0.15803399033259227,0.15803399033259227
256,15.0,corrected,1.0667445387757573,0.31606798066518454,0.31606798066518454
256,15.0,corrected,1.068289400260848,0.15803399033259227,0.15803399033259227
256,15.0,corrected,1.0698342617459384,0.31606798066518454,0.31606798066518454
512,15.0,open,0.9475493326878113,0.07888698403213885,0.3155479361285554
512,15.0,open,0.9490967402100747,0.3155479361285554,0.1577739680642777
512,15.0,open,0.950644147732338,0.1577739680642777,0.07888698403213885
512,15.0,open,0.9521915552546014,0.1577739680642664,0.5522088882249324
512,15.0,open,0.9537389627768649,0.3944349201606943,0.23666095209641658
512,15.0,open,0.9552863702991281,0.47332190419283315,0.552208888224972
512,15.0,open,0.9568337778213916,0.7888698403213886,0.6310958722571108
512,15.0,open,0.9583811853436548,0.6310958722571108,0.7099828562892497
512,15.0,open,0.9599285928659183,0.7888698403213886,1.0255307924178052
512,15.0,open,0.9614760003881816,1.4988526966105309,1.577739680642664
512,15.0,open,0.9630234079104449,1.9721746008034715,1.3410787285463606
512,15.0,open,0.9645708154327084,2.4454965049963047,3.5499142814462488
512,15.0,open,0.9661182229549716,4.102123169671221,3.0765923772534154
512,15.0,open,0.9676656304772351,4.259897137735498,4.890993009992609
512,15.0,open,0.9692130379994983,4.654332057896193,4.890993009992609
512,15.0,open,0.9707604455217618,6.6265066586991885,5.285427930152925
512,15.0,open,0.9723078530440252,7.415376499021053,7.5731504670853305
512,15.0,open,0.9738552605662885,8.440907291438858,7.65203745111747
512,15.0,open,0.9754026680885519,9.466438083856664,9.387551099824524
512,15.0,open,0.9769500756108151,11.438612684660134,10.728629828370885
512,15.0,open,0.9784974831330786,11.12306474853158,12.46414347707794
512,15.0,open,0.980044890655342,11.280838716595047,11.83304760481998
512,15.0,open,0.9815922981776053,12.621917445142218,13.726335221592162
512,15.0,open,0.9831397056998687,14.672979029977828,14.51520506191355
512,15.0,open,0.984687113222132,13.095239349335051,15.30407490223494
512,15.0,open,0.9862345207443954,17.434023471102687,14.041883157720717
512,15.0,open,0.9877819282666587,15.30407490223494,15.93517077449205
512,15.0,open,0.9893293357889221,17.27624950303717,17.74957140722997
