N,Z,closure,realization,max_finite,max_ref,delta_max
256,15.0,corrected,16,1.0138832189471074,1.0139843208605601,-0.0001011019134526947
256,15.0,corrected,17,1.0238431825489291,1.0239109174209882,-6.773487205902207e-05
256,15.0,corrected,18,1.0117879598009898,1.0116460088264434,0.00014195097454638983
256,15.0,corrected,19,1.0194286820935639,1.019390844245665,3.7837847898902766e-05
256,15.0,corrected,20,1.0356928835258137,1.0357010592672136,-8.175741399885084e-06
256,15.0,corrected,21,1.028440081760619,1.028322420496541,0.00011766126407786182
256,15.0,corrected,22,1.017791753044923,1.0177405840272151,5.116901770785276e-05
256,15.0,corrected,23,1.0200238398178407,1.0202473770189837,-0.00022353720114298703
256,15.0,corrected,24,1.0206438614746804,1.0207186533251371,-7.479185045666803e-05
256,15.0,corrected,25,1.0469161044449904,1.047150271686939,-0.00023416724194857963
256,15.0,corrected,26,1.0325293067878578,1.032387295020272,0.0001420117675858812
256,15.0,corrected,27,1.0221066003804202,1.0221931882227353,-8.658784231507788e-05
256,15.0,corrected,28,1.0280881195646403,1.028138489670359,-5.037010571862233e-05
256,15.0,corrected,29,1.0190117652812862,1.0190800194158889,-6.825413460265217e-05
256,15.0,corrected,30,1.0309067846328634,1.0309495098635577,-4.2725230694262706e-05
256,15.0,corrected,31,1.0171036756709302,1.0170122455944912,9.143007643896972e-05
256,15.0,corrected,32,1.0250623964400687,1.0249572148476327,0.0001051815924359989
256,15.0,corrected,33,1.0108246241004069,1.010722286250731,0.00010233784967583759
256,15.0,corrected,34,1.0233344527601553,1.0235013601980014,-0.00016690743784608664
256,15.0,corrected,35,1.0433358312565206,1.0433238158110112,1.2015445509439004e-05
256,15.0,corrected,36,1.0193645985589412,1.019423249606803,-5.865104786173525e-05
256,15.0,corrected,37,1.0245887045053805,1.0246477164987393,-5.901199335878182e-05
256,15.0,corrected,38,1.0108787308037432,1.0107645921274173,0.00011413867632592556
256,15.0,corrected,39,1.0222476178452573,1.0221641765276268,8.34413176304949e-05
256,15.0,corrected,40,1.0175918506280182,1.0175100377489976,8.181287902053747e-05
256,15.0,corrected,41,1.0291868051293138,1.0291741046269043,1.270050240953502e-05
256,15.0,corrected,42,1.0706066924884838,1.0705682307077486,3.8461780735188356e-05
256,15.0,corrected,43,1.0512515738142925,1.051121054236834,0.00013051957745835452
256,15.0,corrected,44,1.0161237515567023,1.0162423312441524,-0.00011857968745010439
256,15.0,corrected,45,1.0193558189237946,1.0191830818750358,0.00017273704875875318
256,15.0,corrected,46,1.012096173174154,1.0119964093557232,9.976381843079807e-05
256,15.0,corrected,47,1.0307825628757559,1.030662849389712,0.00011971348604378207
256,15.0,corrected,48,1.043825914954416,1.044029446604324,-0.00020353164990805084
256,15.0,corrected,49,1.0165974041148789,1.016624208751063,-2.680463618420781e-05
256,15.0,corrected,50,1.021928772058781,1.022016799465869,-8.802740708802048e-05
256,15.0,corrected,51,1.0263620555823987,1.0265183401602387,-0.0001562845778400046
256,15.0,corrected,52,1.0078550184814008,1.00782227722628,3.274125512087167e-05
256,15.0,corrected,53,1.0209496649994978,1.0208159346285268,0.00013373037097097473
256,15.0,corrected,54,1.0379283762780063,1.0380751870340923,-0.00014681075608602434
256,15.0,corrected,55,1.0060293696766378,1.0061063534276609,-7.6983751023052e-05
256,15.0,corrected,56,1.0186862504091176,1.0184922915429002,0.0001939588662174252
256,15.0,corrected,57,1.0294161910902342,1.0293559656730178,6.02254172163974e-05
256,15.0,corrected,58,1.0380489789468128,1.0381297328208872,-8.075387407435741e-05
256,15.0,corrected,59,1.0238950494001735,1.024100859972715,-0.00020581057254154267
256,15.0,corrected,60,1.0204592015211658,1.0206821061254776,-0.00022290460431184655
256,15.0,corrected,61,1.0244872601538948,1.0242244551951165,0.00026280495877828436
256,15.0,corrected,62,1.036678838025733,1.036623459277715,5.537874801797571e-05
256,15.0,corrected,63,1.0309428807401855,1.0310210377970646,-7.815705687908014e-05
