N,Z,closure,realization,max_finite,max_ref,delta_max
256,25.0,corrected,21,1.7021983470298898,1.6962099227302538,0.0059884242996359
256,25.0,corrected,22,1.2511130079431203,1.2480254507166606,0.0030875572264599
256,25.0,corrected,23,1.394121631555962,1.3948438649410129,-0.0007222333850509
256,25.0,corrected,24,1.3968797880369366,1.3952698578623417,0.001609930174595
256,25.0,corrected,25,2.093651103280362,2.0972675785318,-0.0036164752514373
256,25.0,corrected,26,1.564905045397303,1.56095971471491,0.0039453306823928
256,25.0,corrected,27,1.3897504109029075,1.390184802663186,-0.0004343917602784
256,25.0,corrected,28,1.4503906466767085,1.4464806139341086,0.0039100327425996
256,25.0,corrected,29,1.34752459724887,1.3427884193916124,0.0047361778572576
256,25.0,corrected,30,1.6200090339376227,1.6165611783052525,0.0034478556323702
256,25.0,corrected,31,1.255157315901153,1.2523926325948187,0.0027646833063346
256,25.0,corrected,32,1.5678742586733638,1.5641496857128043,0.0037245729605595
256,25.0,corrected,33,1.1302497531480096,1.1269695231005905,0.003280230047419
256,25.0,corrected,34,1.411539294565679,1.4109558423354165,0.0005834522302627
256,25.0,corrected,35,2.065109501571207,2.0566845538210634,0.0084249477501434
256,25.0,corrected,36,1.3797353772069345,1.374685285082072,0.0050500921248624
256,25.0,corrected,37,1.551403836090949,1.5508034150258765,0.0006004210650727
256,25.0,corrected,38,1.1421468280884146,1.1387424166456213,0.0034044114427933
256,25.0,corrected,39,1.433623263069305,1.4282061554600425,0.0054171076092626
256,25.0,corrected,40,1.2540937137670365,1.2539985638730238,9.51498940127138e-05
256,25.0,corrected,41,1.5358958822598885,1.5321071649524778,0.0037887173074107
256,25.0,corrected,42,4.005770848894548,3.9858377780274767,0.0199330708670708
256,25.0,corrected,43,2.478135689571116,2.473038143769044,0.0050975458020725
256,25.0,corrected,44,1.2586290172581562,1.2599508267932022,-0.001321809535046
256,25.0,corrected,45,1.3982366445997123,1.396974189470179,0.0012624551295334
256,25.0,corrected,46,1.1721843000731382,1.1689265817592087,0.0032577183139295
256,25.0,corrected,47,1.5927955371120557,1.588473814045442,0.0043217230666134
256,25.0,corrected,48,2.1016828977560094,2.1003027049499488,0.0013801928060606
256,25.0,corrected,49,1.3378045333685584,1.338069774772657,-0.0002652414040988
256,25.0,corrected,50,1.3040153092987334,1.304054759219481,-3.944992074766951e-05
256,25.0,corrected,51,1.613312310802656,1.6121431428979545,0.0011691679047014
256,25.0,corrected,52,1.154622125822429,1.153299807763988,0.0013223180584409
256,25.0,corrected,53,1.2855582649880717,1.2812380152580871,0.0043202497299845
256,25.0,corrected,54,1.8847743313333565,1.879593200293643,0.0051811310397131
256,25.0,corrected,55,1.065331459656714,1.0646363260798537,0.0006951335768603
256,25.0,corrected,56,1.2588439780649534,1.2553259960841383,0.003517981980815
256,25.0,corrected,57,1.6562531280765318,1.6541858115732828,0.0020673165032489
256,25.0,corrected,58,1.68572589882489,1.6847141033644626,0.0010117954604274
256,25.0,corrected,59,1.339424494897891,1.335161289972288,0.004263204925603
256,25.0,corrected,60,1.365256232037473,1.3624247490492392,0.0028314829882338
256,25.0,corrected,61,1.4233930406728958,1.4150499690136775,0.0083430716592183
256,25.0,corrected,62,1.8194341519648984,1.81409358595094,0.0053405660139587
256,25.0,corrected,63,1.7334818482419465,1.7281509486744868,0.0053308995674596
