Z,tau,reference_mode_amplitude,reference_max_intensity,reference_power_rel
15.4,4.618547106878651,3.628927794780184e-05,1.0001013612340413,-8.881784196996811e-16
15.5,4.648537672507733,3.739410349708543e-05,1.000104446711527,-8.881784196996811e-16
15.6,4.678528238136815,3.853256509737446e-05,1.000107626152298,-8.881784196996811e-16
15.7,4.708518803765898,3.970568679640408e-05,1.0001109024170896,-8.881784196996811e-16
15.8,4.73850936939498,4.0914523818689625e-05,1.0001142784537806,-1.1102230246246014e-15
15.9,4.768499935024062,4.216016351481278e-05,1.0001177573000504,-8.881784196996811e-16
16.0,4.798490500653144,4.3443726339353305e-05,1.0001213420861128,-8.881784196996811e-16
16.1,4.828481066282227,4.476636685885519e-05,1.0001250360375342,-8.881784196996811e-16
16.2,4.858471631911308,4.612927479025425e-05,1.0001288424781432,-1.1102230246246014e-15
16.3,4.888462197540391,4.753367607113103e-05,1.0001327648330172,-8.881784196996811e-16
16.4,4.918452763169472,4.898083396234544e-05,1.0001368066315754,-1.1102230246246014e-15
16.5,4.948443328798555,5.047205018443545e-05,1.0001409715107523,-1.1102230246246014e-15
16.6,4.978433894427638,5.200866608844708e-05,1.0001452632182768,-1.1102230246246014e-15
16.7,5.008424460056719,5.359206386252056e-05,1.000149685616047,-1.1102230246246014e-15
16.8,5.038415025685802,5.522366777512296e-05,1.00015424268361,-1.1102230246246014e-15
16.9,5.068405591314883,5.690494545629388e-05,1.0001589385217455,-1.1102230246246014e-15
17.0,5.0983961569439655,5.8637409217595744e-05,1.000163777356167,-1.1102230246246014e-15
17.1,5.128386722573048,6.042261741257436e-05,1.0001687635413177,-1.1102230246246014e-15
17.2,5.1583772882021295,6.22621758385094e-05,1.0001739015643063,-1.1102230246246014e-15
17.3,5.188367853831212,6.41577391807236e-05,1.000179196048944,-1.1102230246246014e-15
17.400000000000002,5.218358419460294,6.611101250106169e-05,1.000184651759911,-8.881784196996811e-16
17.5,5.248348985089376,6.812375277156581e-05,1.000190273607052,-1.3322676295495217e-15
17.6,5.278339550718459,7.019777045488214e-05,1.0001960666498035,-1.3322676295495217e-15
17.7,5.30833011634754,7.233493113279011e-05,1.000202036101751,-1.1102230246246014e-15
17.8,5.338320681976623,7.453715718423325e-05,1.000208187335329,-1.1102230246246014e-15
17.900000000000002,5.368311247605705,7.68064295145413e-05,1.0002145258866644,-1.1102230246246014e-15
18.0,5.398301813234787,7.914478933730111e-05,1.000221057460569,-1.1102230246246014e-15
18.1,5.42829237886387,8.155434001034277e-05,1.000227787935678,-8.881784196996811e-16
18.2,5.458282944492951,8.4037248927765e-05,1.0002347233697555,-8.881784196996811e-16
18.3,5.488273510122034,8.659574946950636e-05,1.0002418700051563,-1.3322676295495217e-15
18.4,5.518264075751116,8.92321430102469e-05,1.000249234274451,-1.1102230246246014e-15
18.5,5.548254641380198,9.194880098950218e-05,1.000256822806229,-1.1102230246246014e-15
18.6,5.578245207009281,9.474816704477745e-05,1.0002646424310817,-1.1102230246246014e-15
18.7,5.608235772638362,9.763275920955424e-05,1.0002727001877538,-1.1102230246246014e-15
18.8,5.638226338267445,0.0001006051721782,1.0002810033295022,-8.881784196996811e-16
18.9,5.668216903896527,0.0001036680796403,1.0002895593306336,-8.881784196996811e-16
19.0,5.698207469525609,0.000106824236685,1.0002983758932489,-1.1102230246246014e-15
19.1,5.728198035154691,0.0001100764822796,1.000307460954194,-8.881784196996811e-16
19.2,5.758188600783773,0.0001134277418234,1.0003168226922217,-8.881784196996811e-16
19.3,5.788179166412856,0.0001168810297785,1.0003264695353715,-8.881784196996811e-16
19.4,5.818169732041937,0.0001204394523818,1.0003364101685774,-8.881784196996811e-16
19.5,5.848160297671019,0.000124106210439,1.0003466535415062,-8.881784196996811e-16
19.6,5.878150863300101,0.0001278846022036,1.0003572088766393,-8.881784196996811e-16
19.7,5.908141428929183,0.0001317780263436,1.0003680856775945,-8.881784196996811e-16
19.8,5.938131994558266,0.0001357899849987,1.000379293737713,-8.881784196996811e-16
19.9,5.968122560187348,0.0001399240869308,1.0003908431488993,-6.661338147747608e-16
20.0,5.99811312581643,0.0001441840507694,1.000402744310735,-8.881784196996811e-16
20.1,6.028103691445512,0.000148573708357,1.0004150079398777,-6.661338147747608e-16
20.2,6.058094257074594,0.0001530970081958,1.000427645079734,-6.661338147747608e-16
20.3,6.088084822703677,0.0001577580189991,1.0004406671104469,-6.661338147747608e-16
20.4,6.118075388332759,0.0001625609333516,1.0004540857591702,-6.661338147747608e-16
20.5,6.148065953961841,0.0001675100714799,1.0004679131106726,-6.661338147747608e-16
20.6,6.178056519590923,0.0001726098851393,1.000482161618259,-6.661338147747608e-16
20.7,6.208047085220005,0.0001778649616176,1.000496844115029,-6.661338147747608e-16
20.8,6.238037650849088,0.0001832800278616,1.0005119738254773,-6.661338147747608e-16
20.9,6.26802821647817,0.000188859954729,1.0005275643774545,-6.661338147747608e-16
21.0,6.298018782107252,0.0001946097613695,1.0005436298144956,-4.4408920984984055e-16
21.1,6.328009347736334,0.0002005346197398,1.0005601846085166,-4.4408920984984055e-16
21.2,6.357999913365416,0.0002066398592555,1.000577243672914,-4.4408920984984055e-16
21.3,6.387990478994499,0.0002129309715853,1.0005948223760572,-4.4408920984984055e-16
21.4,6.4179810446235805,0.0002194136155901,1.0006129365551977,-4.4408920984984055e-16
21.5,6.447971610252663,0.0002260936224137,1.0006316025308055,-4.4408920984984055e-16
21.6,6.4779621758817445,0.0002329770007276,1.0006508371213458,-4.4408920984984055e-16
21.7,6.5079527415108265,0.0002400699421359,1.0006706576585116,-4.4408920984984055e-16
21.8,6.5379433071399085,0.0002473788267446,1.0006910820029198,-6.661338147747608e-16
21.9,6.567933872768991,0.0002549102289002,1.00071212856029,-4.4408920984984055e-16
22.0,6.597924438398073,0.0002626709231039,1.0007338162981303,-4.4408920984984055e-16
22.1,6.627915004027155,0.0002706678901045,1.0007561647629213,-4.4408920984984055e-16
22.2,6.657905569656237,0.0002789083231782,1.00077919409784,-6.661338147747608e-16
22.3,6.687896135285319,0.0002873996345983,1.000802925061023,-6.661338147747608e-16
22.4,6.717886700914402,0.0002961494623031,1.0008273790443984,-2.2204460492492028e-16
22.5,6.747877266543484,0.0003051656767655,1.000852578093088,-4.4408920984984055e-16
22.6,6.777867832172566,0.0003144563880731,1.000878544925417,-4.4408920984984055e-16
22.7,6.807858397801648,0.0003240299532225,1.0009053029535315,-4.4408920984984055e-16
22.8,6.83784896343073,0.0003338949836371,1.0009328763046608,-4.4408920984984055e-16
22.9,6.867839529059813,0.000344060352912,1.000961289843025,-4.4408920984984055e-16
23.0,6.897830094688895,0.0003545352047967,1.0009905691924268,-4.4408920984984055e-16
23.1,6.927820660317977,0.0003653289614191,1.0010207407595364,-4.4408920984984055e-16
23.2,6.957811225947059,0.0003764513317609,1.001051831757898,-4.4408920984984055e-16
23.3,6.987801791576141,0.0003879123203906,1.001083870232672,-6.661338147747608e-16
23.4,7.017792357205224,0.0003997222364624,1.0011168850861496,-4.4408920984984055e-16
23.5,7.047782922834306,0.0004118917029896,1.001150906104049,-2.2204460492492028e-16
23.6,7.077773488463388,0.0004244316663988,1.00118596398263,-4.4408920984984055e-16
23.7,7.10776405409247,0.0004373534063772,1.001222090356643,-4.4408920984984055e-16
23.8,7.137754619721552,0.0004506685460178,1.0012593178281484,-4.4408920984984055e-16
23.9,7.167745185350634,0.000464389062274,1.001297679996226,-4.4408920984984055e-16
24.0,7.197735750979716,0.0004785272967331,1.001337211487601,-4.4408920984984055e-16
24.1,7.227726316608798,0.000493095966717,1.001377947988225,-4.4408920984984055e-16
24.2,7.25771688223788,0.0005081081767213,1.0014199262758363,-4.4408920984984055e-16
24.3,7.287707447866962,0.0005235774302021,1.0014631842535295,-2.2204460492492028e-16
24.4,7.317698013496045,0.0005395176417223,1.0015077609843628,-2.2204460492492028e-16
24.5,7.347688579125126,0.0005559431494673,1.0015536967270509,-4.4408920984984055e-16
24.6,7.377679144754209,0.0005728687281416,1.001601032972758,-4.4408920984984055e-16
24.7,7.407669710383291,0.0005903096022585,1.0016498124830415,-4.4408920984984055e-16
24.8,7.437660276012373,0.0006082814598336,1.0017000793289748,-4.4408920984984055e-16
24.9,7.467650841641456,0.0006268004664955,1.0017518789314868,-4.4408920984984055e-16
25.0,7.497641407270537,0.0006458832800269,1.001805258102964,-4.4408920984984055e-16
25.1,7.52763197289962,0.0006655470653466,1.0018602650901447,-4.4408920984984055e-16
25.2,7.557622538528702,0.0006858095099492,1.0019169496183546,-4.4408920984984055e-16
25.3,7.587613104157784,0.000706688839814,1.0019753629371282,-4.4408920984984055e-16
25.4,7.617603669786867,0.0007282038357982,1.0020355578672488,-4.4408920984984055e-16
25.5,7.647594235415948,0.0007503738505293,1.0020975888492651,-4.4408920984984055e-16
25.6,7.677584801045031,0.0007732188258118,1.0021615119935334,-4.4408920984984055e-16
25.7,7.707575366674113,0.0007967593105634,1.002227385131807,-2.2204460492492028e-16
25.8,7.737565932303195,0.0008210164792978,1.0022952678704695,-4.4408920984984055e-16
25.9,7.767556497932277,0.0008460121511691,1.0023652216454244,-4.4408920984984055e-16
26.0,7.797547063561359,0.0008717688095969,1.0024373097787118,-4.4408920984984055e-16
26.1,7.8275376291904415,0.0008983096224885,1.002511597536906,-4.4408920984984055e-16
26.2,7.8575281948195235,0.0009256584630759,1.0025881521913549,-4.4408920984984055e-16
26.3,7.887518760448605,0.0009538399313883,1.002667043080312,-4.4408920984984055e-16
26.4,7.917509326077688,0.0009828793763771,1.002748341673034,-4.4408920984984055e-16
26.5,7.947499891706769,0.0010128029187149,1.0028321216358984,-4.4408920984984055e-16
26.6,7.977490457335852,0.001043637474288,1.0029184589006124,-4.4408920984984055e-16
26.7,8.007481022964933,0.0010754107784047,1.0030074317345792,-4.4408920984984055e-16
26.8,8.037471588594016,0.0011081514107391,1.003099120813497,-4.4408920984984055e-16
26.9,8.067462154223099,0.0011418888210354,1.0031936092962594,-4.4408920984984055e-16
27.0,8.09745271985218,0.001176653355594,1.003290982902227,-4.4408920984984055e-16
27.1,8.127443285481263,0.001212476284563,1.0033913299909696,-4.4408920984984055e-16
27.2,8.157433851110344,0.0012493898300615,1.0034947416445352,-4.4408920984984055e-16
27.3,8.187424416739427,0.0012874271951577,1.003601311752346,-4.4408920984984055e-16
27.4,8.21741498236851,0.0013266225937296,1.0037111370988032,-4.4408920984984055e-16
27.5,8.247405547997591,0.0013670112812336,1.003824317453695,-6.661338147747608e-16
27.6,8.277396113626674,0.0014086295864106,1.003940955665492,-4.4408920984984055e-16
27.7,8.307386679255755,0.0014515149439553,1.0040611577576355,-4.4408920984984055e-16
27.8,8.337377244884838,0.001495705928181,1.0041850330279247,-4.4408920984984055e-16
27.9,8.36736781051392,0.0015412422877078,1.0043126941510785,-6.661338147747608e-16
28.0,8.397358376143002,0.0015881649812067,1.0044442572846264,-6.661338147747608e-16
28.1,8.427348941772085,0.001636516214231,1.0045798421781915,-6.661338147747608e-16
28.2,8.457339507401166,0.0016863394771683,1.0047195722863158,-6.661338147747608e-16
28.3,8.487330073030249,0.0017376795843471,1.0048635748849326,-4.4408920984984055e-16
28.4,8.517320638659331,0.0017905827143327,1.0050119811916138,-4.4408920984984055e-16
28.5,8.547311204288413,0.0018450964514501,1.0051649264897238,-4.4408920984984055e-16
28.6,8.577301769917495,0.0019012698285677,1.005322550256609,-4.4408920984984055e-16
28.7,8.607292335546576,0.0019591533711849,1.005484996295967,-6.661338147747608e-16
28.8,8.63728290117566,0.0020187991428587,1.0056524128745397,-6.661338147747608e-16
28.9,8.667273466804742,0.0020802607920125,1.00582495286327,-8.881784196996811e-16
29.0,8.697264032433823,0.0021435936001685,1.0060027738831003,-8.881784196996811e-16
29.1,8.727254598062906,0.0022088545316465,1.0061860384555483,-8.881784196996811e-16
29.2,8.757245163691987,0.0022761022847743,1.0063749141582472,-8.881784196996811e-16
29.3,8.78723572932107,0.002345397344654,1.006569573785608,-8.881784196996811e-16
29.4,8.817226294950153,0.002416802037534,1.0067701955148076,-8.881784196996811e-16
29.5,8.847216860579234,0.0024903805868327,1.0069769630772691,-8.881784196996811e-16
29.6,8.877207426208317,0.0025661991708652,1.007190065935839,-8.881784196996811e-16
29.7,8.907197991837398,0.0026443259823249,1.0074096994678654,-8.881784196996811e-16
29.8,8.93718855746648,0.0027248312895723,1.007636065154392,-8.881784196996811e-16
29.9,8.967179123095564,0.0028077874997863,1.0078693707756718,-8.881784196996811e-16
30.0,8.997169688724645,0.0028932692240341,1.0081098306132543,-8.881784196996811e-16
30.1,9.027160254353728,0.0029813533443179,1.0083576656588602,-8.881784196996811e-16
30.2,9.057150819982809,0.003072119082658,1.008613103830308,-8.881784196996811e-16
30.3,9.087141385611892,0.0031656480722737,1.008876380194741,-1.1102230246246014e-15
30.4,9.117131951240976,0.0032620244309263,1.0091477371994266,-1.1102230246246014e-15
30.5,9.147122516870056,0.0033613348364882,1.0094274249104125,-1.1102230246246014e-15
30.6,9.177113082499138,0.0034636686048056,1.009715701259312,-1.1102230246246014e-15
30.7,9.20710364812822,0.0035691177699257,1.010012832298555,-1.1102230246246014e-15
30.8,9.237094213757302,0.0036777771667565,1.0103190924653842,-1.1102230246246014e-15
30.9,9.267084779386384,0.0037897445162354,1.0106347648549523,-1.3322676295495217e-15
31.0,9.297075345015466,0.0039051205130808,1.010960141502855,-1.1102230246246014e-15
31.1,9.32706591064455,0.0040240089162041,1.0112955236774543,-1.3322676295495217e-15
31.2,9.35705647627363,0.0041465166418636,1.0116412221823745,-1.3322676295495217e-15
31.3,9.387047041902711,0.004272753859641,1.0119975576695557,-1.3322676295495217e-15
31.4,9.417037607531796,0.0044028340913257,1.012364860963269,-1.3322676295495217e-15
31.5,9.447028173160875,0.0045368743127951,1.012743473395531,-1.3322676295495217e-15
31.6,9.47701873878996,0.0046749950589794,1.0131337471533504,-1.7763568393993622e-15
31.7,9.50700930441904,0.004817320532004,1.0135360456382698,-1.7763568393993622e-15
31.8,9.536999870048124,0.0049639787126042,1.0139507438386972,-1.7763568393993622e-15
31.9,9.566990435677209,0.0051151014749098,1.01437822871553,-1.7763568393993622e-15
32.0,9.596981001306288,0.0052708247047008,1.0148188996015954,-2.2204460492492028e-15
32.1,9.62697156693537,0.0054312884212368,1.0152731686154697,-2.2204460492492028e-15
