alpha,rho,closure,N,error,beta_local
1.6,0.15,naive_periodic,4096,4.819493774482764e-06,1.599888704435213
1.6,0.15,naive_periodic,8192,1.5898707126649203e-06,1.5999721667674578
1.6,0.15,naive_periodic,16384,5.244642753976514e-07,1.59999304106847
1.6,0.15,naive_periodic,32768,1.7300889873506087e-07,1.5999982600246319
1.6,0.3,open,64,0.00394612240728655,
1.6,0.3,open,128,0.0012963659026976285,1.6059627284490272
1.6,0.3,open,256,0.0004262998330085637,1.6045325849059107
1.6,0.3,open,512,0.00014054598668847065,1.6008262322299651
1.6,0.3,open,1024,4.635456397306202e-05,1.6002589622533516
1.6,0.3,open,2048,1.5290595353106662e-05,1.6000668101456463
1.6,0.3,open,4096,5.0439565247358156e-06,1.600016834581035
1.6,0.3,open,8192,1.663880270579711e-06,1.6000042168996402
1.6,0.3,open,16384,5.488753938613648e-07,1.6000010541180116
1.6,0.3,open,32768,1.8106132288152393e-07,1.600000264343192
1.6,0.3,corrected,64,0.0002817228444454254,
1.6,0.3,corrected,128,2.462985501161804e-05,3.515796513968775
1.6,0.3,corrected,256,2.4728199127240333e-06,3.3161790531904902
1.6,0.3,corrected,512,2.971581076416916e-07,3.056854527864704
1.6,0.3,corrected,1024,4.309215102548564e-08,2.7857337236940065
1.6,0.3,corrected,2048,6.83979878886581e-09,2.655399324991491
1.6,0.3,corrected,4096,1.1168128998732866e-09,2.6145663742004666
1.6,0.3,corrected,8192,1.837350835200834e-10,2.603688475734381
1.6,0.3,corrected,16384,3.0285861013602877e-11,2.600910797654437
1.6,0.3,corrected,32768,5.031939963005608e-12,2.5894578127794445
1.6,0.3,naive_periodic,64,0.0038937423968247176,
1.6,0.3,naive_periodic,128,0.0012199892745852203,1.674288976505523
1.6,0.3,naive_periodic,256,0.00040583167871244274,1.58791507496315
1.6,0.3,naive_periodic,512,0.0001341651027470525,1.5968720188873935
1.6,0.3,naive_periodic,1024,4.4282198995326816e-05,1.5992106942351756
1.6,0.3,naive_periodic,2048,1.4609680835664385e-05,1.59980220497591
1.6,0.3,naive_periodic,4096,4.819562646585229e-06,1.599950521759694
1.6,0.3,naive_periodic,8192,1.5898763930932702e-06,1.5999876286151062
1.6,0.3,naive_periodic,16384,5.244647438562566e-07,1.5999969070113667
1.6,0.3,naive_periodic,32768,1.730089373985777e-07,1.5999992262496536
