alpha,rho,q,lambda_inf,mi_gain
0.8,0.15,1.4844025288211773,2.1741291068748443,0.0
0.8,0.15,1.492256510455152,2.1806969360349804,0.0
0.8,0.15,1.5001104920891264,2.187229965659462,0.0
0.8,0.15,1.5079644737231008,2.1937282637638384,0.0
0.8,0.15,1.5158184553570753,2.20019189750884,0.0
0.8,0.15,1.5236724369910497,2.2066209332139928,0.0
0.8,0.15,1.5315264186250244,2.2130154363709273,0.0
0.8,0.15,1.5393804002589988,2.2193754716564174,0.0
0.8,0.15,1.5472343818929732,2.225701102945114,0.0
0.8,0.15,1.5550883635269477,2.231992393322032,0.0
0.8,0.15,1.5629423451609221,2.2382494050947357,0.0
0.8,0.15,1.5707963267948968,2.244472199805295,0.0
0.8,0.15,1.5786503084288712,2.2506608382419704,0.0
0.8,0.15,1.5865042900628457,2.2568153804506585,0.0
0.8,0.15,1.59435827169682,2.262935885746087,0.0
0.8,0.15,1.6022122533307945,2.2690224127227916,0.0
0.8,0.15,1.6100662349647692,2.2750750192658447,0.0
0.8,0.15,1.6179202165987436,2.2810937625613805,0.0
0.8,0.15,1.625774198232718,2.2870786991068863,0.0
0.8,0.15,1.6336281798666925,2.293029884721287,0.0
0.8,0.15,1.641482161500667,2.298947374554837,0.0
0.8,0.15,1.6493361431346416,2.3048312230987835,0.0
0.8,0.15,1.657190124768616,2.310681484194856,0.0
0.8,0.15,1.6650441064025905,2.3164982110445553,0.0
0.8,0.15,1.672898088036565,2.3222814562182585,0.0
0.8,0.15,1.6807520696705394,2.3280312716641287,0.0
0.8,0.15,1.688606051304514,2.3337477087168743,0.0
0.8,0.15,1.6964600329384885,2.3394308181063,0.0
0.8,0.15,1.704314014572463,2.3450806499657153,0.0
0.8,0.15,1.7121679962064373,2.350697253840167,0.0
0.8,0.15,1.7200219778404118,2.356280678694505,0.0
0.8,0.15,1.7278759594743864,2.361830972921298,0.0
0.8,0.15,1.7357299411083609,2.367348184348594,0.0
0.8,0.15,1.7435839227423353,2.3728323602475276,0.0
0.8,0.15,1.7514379043763098,2.378283547339779,0.0
0.8,0.15,1.7592918860102844,2.383701791804891,0.0
0.8,0.15,1.7671458676442588,2.38908713928745,0.0
0.8,0.15,1.7749998492782333,2.3944396349041197,0.0
0.8,0.15,1.7828538309122077,2.3997593232505525,0.0
0.8,0.15,1.7907078125461822,2.40504624840816,0.0
0.8,0.15,1.7985617941801568,2.4103004539507555,0.0
0.8,0.15,1.8064157758141313,2.4155219829510854,0.0
0.8,0.15,1.8142697574481057,2.4207108779872177,0.0
0.8,0.15,1.8221237390820801,2.425867181148822,0.0
0.8,0.15,1.8299777207160546,2.4309909340433413,0.0
0.8,0.15,1.8378317023500292,2.4360821778020214,0.0
0.8,0.15,1.8456856839840037,2.4411409530858634,0.0
0.8,0.15,1.8535396656179781,2.446167300091437,0.0
0.8,0.15,1.8613936472519526,2.451161258556607,0.0
0.8,0.15,1.869247628885927,2.456122867766139,0.0
0.8,0.15,1.8771016105199017,2.4610521665572187,0.0
0.8,0.15,1.884955592153876,2.4659491933248545,0.0
0.8,0.15,1.8928095737878505,2.470813986027196,0.0
0.8,0.15,1.900663555421825,2.4756465821907447,0.0
0.8,0.15,1.9085175370557994,2.480447018915483,0.0
0.8,0.15,1.916371518689774,2.4852153328798945,0.0
0.8,0.15,1.9242255003237485,2.4899515603459097,0.0
0.8,0.15,1.932079481957723,2.49465573716376,0.0
0.8,0.15,1.9399334635916974,2.4993278987767304,0.0
0.8,0.15,1.9477874452256718,2.5039680802258517,0.0
0.8,0.15,1.9556414268596465,2.508576316154493,0.0
0.8,0.15,1.963495408493621,2.5131526408128746,0.0
0.8,0.15,1.9713493901275954,2.5176970880625014,0.0
0.8,0.15,1.9792033717615698,2.522209691380531,0.0
0.8,0.15,1.9870573533955442,2.5266904838640514,0.0
0.8,0.15,1.994911335029519,2.531139498234273,0.0
0.8,0.15,2.0027653166634933,2.535556766840684,0.0
0.8,0.15,2.0106192982974678,2.5399423216650927,0.0
0.8,0.15,2.018473279931442,2.544296194325632,0.0
0.8,0.15,2.0263272615654166,2.548618416080666,0.0
0.8,0.15,2.034181243199391,2.5529090178326577,0.0
0.8,0.15,2.0420352248333655,2.557168030131943,0.0
0.8,0.15,2.0498892064673404,2.5613954831804624,0.0
0.8,0.15,2.057743188101315,2.565591406835413,0.0
0.8,0.15,2.0655971697352893,2.5697558306128405,0.0
0.8,0.15,2.0734511513692637,2.5738887836911806,0.0
0.8,0.15,2.081305133003238,2.577990294914728,0.0
0.8,0.15,2.0891591146372126,2.582060392797044,0.0
0.8,0.15,2.097013096271187,2.586099105524323,0.0
0.8,0.15,2.1048670779051615,2.5901064609586824,0.0
0.8,0.15,2.112721059539136,2.594082486641411,0.0
0.8,0.15,2.1205750411731104,2.598027209796152,0.0
0.8,0.15,2.1284290228070852,2.6019406573320376,0.0
0.8,0.15,2.1362830044410597,2.605822855846773,0.0
0.8,0.15,2.144136986075034,2.6096738316296593,0.0
0.8,0.15,2.1519909677090086,2.6134936106645803,0.0
0.8,0.15,2.159844949342983,2.61728221863292,0.0
0.8,0.15,2.1676989309769574,2.621039680916451,0.0
0.8,0.15,2.175552912610932,2.624766022600155,0.0
0.8,0.15,2.1834068942449063,2.628461268475011,0.0
0.8,0.15,2.1912608758788807,2.6321254430407364,0.0
0.8,0.15,2.199114857512855,2.6357585705084645,0.0
0.8,0.15,2.20696883914683,2.639360674803404,0.0
0.8,0.15,2.2148228207808045,2.64293177956743,0.0
0.8,0.15,2.222676802414779,2.6464719081616472,0.0
0.8,0.15,2.2305307840487534,2.649981083668904,0.0
0.8,0.15,2.238384765682728,2.653459328896261,0.0
0.8,0.15,2.2462387473167023,2.6569066663774343,0.0
0.8,0.15,2.2540927289506767,2.660323118375176,0.0
0.8,0.15,2.261946710584651,2.6637087068836287,0.0
0.8,0.15,2.2698006922186256,2.6670634536306412,0.0
0.8,0.15,2.2776546738526,2.6703873800800375,0.0
0.8,0.15,2.285508655486575,2.673680507433862,0.0
0.8,0.15,2.2933626371205493,2.6769428566345628,0.0
0.8,0.15,2.3012166187545238,2.6801744483671754,0.0
0.8,0.15,2.309070600388498,2.683375303061421,0.0
0.8,0.15,2.3169245820224726,2.686545440893826,0.0
0.8,0.15,2.324778563656447,2.689684881789759,0.0
0.8,0.15,2.3326325452904215,2.692793645425456,0.0
0.8,0.15,2.340486526924396,2.695871751230012,0.0
0.8,0.15,2.3483405085583704,2.6989192183873323,0.0
0.8,0.15,2.356194490192345,2.7019360658380585,0.0
0.8,0.15,2.3640484718263197,2.704922312281446,0.0
0.8,0.15,2.371902453460294,2.707877976177239,0.0
0.8,0.15,2.3797564350942686,2.710803075747484,0.0
0.8,0.15,2.387610416728243,2.713697628978328,0.0
0.8,0.15,2.3954643983622175,2.716561653621791,0.0
0.8,0.15,2.403318379996192,2.719395167197491,0.0
0.8,0.15,2.4111723616301663,2.7221981869943574,0.0
0.8,0.15,2.419026343264141,2.7249707300723083,0.0
0.8,0.15,2.4268803248981152,2.7277128132638966,0.0
0.8,0.15,2.4347343065320897,2.7304244531759307,0.0
0.8,0.15,2.4425882881660645,2.733105666191068,0.0
0.8,0.15,2.450442269800039,2.7357564684693827,0.0
0.8,0.15,2.4582962514340134,2.738376875949905,0.0
0.8,0.15,2.466150233067988,2.7409669043521303,0.0
0.8,0.15,2.4740042147019623,2.7435265691775026,0.0
0.8,0.15,2.4818581963359367,2.746055885710888,0.0
0.8,0.15,2.489712177969911,2.7485548690219908,0.0
0.8,0.15,2.4975661596038856,2.7510235339667855,0.0
0.8,0.15,2.50542014123786,2.7534618951888805,0.0
0.8,0.15,2.5132741228718345,2.755869967120894,0.0
0.8,0.15,2.5211281045058094,2.7582477639857874,0.0
0.8,0.15,2.528982086139784,2.7605952997981724,0.0
0.8,0.15,2.5368360677737583,2.762912588365611,0.0
0.8,0.15,2.5446900494077327,2.7651996432898702,0.0
0.8,0.15,2.552544031041707,2.7674564779681807,0.0
0.8,0.15,2.5603980126756816,2.769683105594445,0.0
0.8,0.15,2.568251994309656,2.7718795391604423,0.0
0.8,0.15,2.5761059759436304,2.7740457914570067,0.0
0.8,0.15,2.583959957577605,2.776181875075181,0.0
0.8,0.15,2.5918139392115798,2.7782878024073496,0.0
0.8,0.15,2.599667920845554,2.7803635856483573,0.0
0.8,0.15,2.6075219024795286,2.7824092367965947,0.0
0.8,0.15,2.615375884113503,2.784424767655071,0.0
0.8,0.15,2.6232298657474775,2.786410189832473,0.0
0.8,0.15,2.631083847381452,2.7883655147441835,0.0
0.8,0.15,2.6389378290154264,2.7902907536133044,0.0
0.8,0.15,2.646791810649401,2.7921859174716395,0.0
