alpha,rho,q,lambda_inf,mi_gain,panel,q_star,g_max,q_c,g_c,period,mode_index,g_ratio,lambda_qc,g_theory,g_num,beta_static,logA,A,mu,restricted_r2,beta_dynamic,mu_free,g_eff,g_eff_ratio,n_fit
0.8,0.3,0.4869468613064179,1.0155028200697815,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.4948008429403924,1.0277194865572852,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.5026548245743669,1.039869928620844,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.5105088062083414,1.0519549550348772,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.5183627878423159,1.0639753471754354,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.5262167694762904,1.0759318603457788,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.5340707511102649,1.087825225018964,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.5419247327442394,1.0996561480037783,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.5497787143782138,1.111425313539797,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.5576326960121883,1.1231333843268148,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.5654866776461628,1.1347810024934577,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.5733406592801373,1.1463687905093565,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.5811946409141118,1.1578973520449076,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.5890486225480862,1.1693672727822846,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.5969026041820608,1.1807791211810963,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.6047565858160352,1.1921334492017666,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.6126105674500097,1.2034307929895125,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.6204645490839842,1.2146716735215275,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.6283185307179586,1.2258565972197963,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.6361725123519332,1.2369860565317687,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.6440264939859076,1.248060530480961,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.6518804756198822,1.2590804851893789,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.6597344572538566,1.2700463743735328,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.6675884388878311,1.2809586398156827,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.6754424205218056,1.291817711811814,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.68329640215578,1.3026240095977566,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.6911503837897546,1.3133779417547582,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.699004365423729,1.324079906595712,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.7068583470577036,1.3347302925331792,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.714712328691678,1.3453294784302503,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.7225663103256524,1.3558778339352269,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.730420291959627,1.3663757198010351,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.7382742735936014,1.3768234881902353,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.746128255227576,1.387221482966404,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.7539822368615504,1.3975700399726487,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.7618362184955249,1.4078694872979507,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.7696902001294994,1.4181201455319732,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.7775441817634738,1.428322328008976,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.7853981633974484,1.438476341041368,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.7932521450314228,1.4485824841434725,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.8011061266653973,1.4586410502459912,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.8089601082993718,1.468652325901638,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.8168140899333463,1.4786165914823988,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.8246680715673208,1.4885341213688277,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.8325220532012952,1.4984051841317725,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.8403760348352697,1.5082300427069113,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.8482300164692442,1.518008954562439,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.8560839981032187,1.5277421718602278,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.8639379797371932,1.537429941610799,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.8717919613711677,1.547072505822359,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.8796459430051422,1.5566701016442193,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
